event_date,entry_date,exit_date,event_type,surprise,surprise_pct,signal,entry_price,exit_price,pnl_gross,cost,pnl_net,stopped,holding_days,stop_type,stop_pct,config
2020-06-10,2020-06-11,2020-06-16,CPI,-0.1,-50.0,1,349.913842706137,325.230376892821,-7.054155280745933,0.3,-7.354155280745933,False,2,none,0,No stop
2020-04-10,2020-04-13,2020-04-16,CPI,-0.10000000000000009,-6.250000000000005,1,363.2116152118612,394.0659149619198,8.494854915931382,0.3,8.194854915931382,False,2,none,0,No stop
2020-03-11,2020-03-12,2020-03-17,CPI,0.09999999999999964,4.545454545454529,-1,355.52744185873104,373.9108756969066,-4.916528251260932,0.3,-5.2165282512609314,False,2,none,0,No stop
2020-02-13,2020-02-14,2020-02-20,CPI,0.10000000000000009,4.1666666666666705,-1,271.41489992055836,278.87228570534614,-2.6741222297963274,0.3,-2.9741222297963272,False,2,none,0,No stop
2024-11-01,2024-11-04,2024-11-06,NFP,-88.0,-88.0,1,46.28149619632034,45.31051040612154,-2.098,0.3,-2.3979999999999997,True,2,ohlc,2,OHLC stop 2%
2024-10-04,2024-10-07,2024-10-10,NFP,114.0,81.42857142857143,-1,50.67597586745183,48.85856391160224,3.7197408403934373,0.3,3.4197408403934375,False,2,ohlc,2,OHLC stop 2%
2024-08-02,2024-08-05,2024-08-07,NFP,-61.0,-34.85714285714286,1,59.16251588586434,57.9212863025789,-2.098000000000011,0.3,-2.398000000000011,True,2,ohlc,2,OHLC stop 2%
2024-06-07,2024-06-10,2024-06-12,NFP,92.0,51.11111111111111,-1,45.57570338607362,46.53370467124888,-2.0587255881373334,0.3,-2.3587255881373332,True,2,ohlc,2,OHLC stop 2%
2024-05-03,2024-05-06,2024-05-09,NFP,-65.0,-27.083333333333332,1,44.259751496830354,44.18400840044207,-0.17113312620770094,0.3,-0.4711331262077009,False,2,ohlc,2,OHLC stop 2%
2024-04-05,2024-04-08,2024-04-11,NFP,103.0,51.5,-1,46.52244033103426,45.10233964220242,3.148618674990078,0.3,2.848618674990078,False,2,ohlc,2,OHLC stop 2%
2024-03-08,2024-03-11,2024-03-14,NFP,75.0,37.5,-1,54.36421803846819,50.52541650963413,7.59776325268311,0.3,7.29776325268311,False,2,ohlc,2,OHLC stop 2%
2024-02-02,2024-02-05,2024-02-08,NFP,173.0,96.11111111111111,-1,52.520082491726086,51.40044021606445,2.178273709242884,0.3,1.8782737092428838,False,2,ohlc,2,OHLC stop 2%
2024-01-05,2024-01-08,2024-01-10,NFP,46.0,27.058823529411764,-1,55.71908936335049,56.89030462176812,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2023-10-06,2023-10-09,2023-10-11,NFP,166.0,97.6470588235294,-1,40.53015117969509,41.38209495749228,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2023-06-02,2023-06-05,2023-06-07,NFP,149.0,78.42105263157895,-1,69.93567341678434,71.40572127200514,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2023-05-05,2023-05-08,2023-05-11,NFP,73.0,40.55555555555556,-1,74.99678909345268,76.57322160019704,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2023-03-10,2023-03-13,2023-03-16,NFP,106.0,51.707317073170735,-1,86.9837687592222,84.7839480335236,2.594619355103389,0.3,2.2946193551033893,False,2,ohlc,2,OHLC stop 2%
2023-02-03,2023-02-06,2023-02-09,NFP,329.0,175.0,-1,82.30918487888704,84.03932394504123,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2022-12-02,2022-12-05,2022-12-07,NFP,63.0,31.5,-1,84.80344093121262,86.5860092595867,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2022-11-04,2022-11-07,2022-11-10,NFP,61.0,30.5,-1,61.55087687255285,62.8446763044139,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
