Date,Event_Type,Actual,Consensus,Previous
2014-02-01,NFP,151.0,188.0,57.0
2014-03-01,CPI,1.6126949139408042,1.1204746347724948,1.1204746347724948
2014-03-01,NFP,273.0,151.0,188.0
2014-04-01,NFP,312.0,273.0,151.0
2014-04-01,CPI,2.015125303606169,1.6126949139408042,1.6126949139408042
2014-05-01,NFP,215.0,312.0,273.0
2014-05-01,CPI,2.166947687079812,2.015125303606169,2.015125303606169
2014-06-01,CPI,2.0589816945944195,2.166947687079812,2.166947687079812
2014-06-01,NFP,337.0,215.0,312.0
2014-07-01,CPI,1.9742378703305974,2.0589816945944195,2.0589816945944195
2014-07-01,NFP,224.0,337.0,215.0
2014-08-01,NFP,196.0,224.0,337.0
2014-08-01,CPI,1.7150983482969062,1.9742378703305974,1.9742378703305974
2014-09-01,NFP,294.0,196.0,224.0
2014-09-01,CPI,1.6840509711232077,1.7150983482969062,1.7150983482969062
2014-10-01,NFP,234.0,294.0,196.0
2014-10-01,CPI,1.6095417021513292,1.6840509711232077,1.6840509711232077
2014-11-01,CPI,1.231524989320798,1.6095417021513292,1.6095417021513292
2014-11-01,NFP,293.0,234.0,294.0
2014-12-01,NFP,274.0,293.0,234.0
2014-12-01,CPI,0.6531213919623191,1.231524989320798,1.231524989320798
2015-01-01,CPI,-0.22993097820542818,0.6531213919623191,0.6531213919623191
2015-01-01,NFP,204.0,274.0,293.0
2015-02-01,CPI,-0.08703146293520536,-0.22993097820542818,-0.22993097820542818
2015-02-01,NFP,259.0,204.0,274.0
2015-03-01,CPI,-0.022031284423873476,-0.08703146293520536,-0.08703146293520536
2015-03-01,NFP,96.0,259.0,204.0
2015-04-01,NFP,273.0,96.0,259.0
2015-04-01,CPI,-0.10403098939391064,-0.022031284423873476,-0.022031284423873476
2015-05-01,NFP,342.0,273.0,96.0
2015-05-01,CPI,0.03503321824429584,-0.10403098939391064,-0.10403098939391064
2015-06-01,CPI,0.1795718097550525,0.03503321824429584,0.03503321824429584
2015-06-01,NFP,171.0,342.0,273.0
2015-07-01,CPI,0.22568611104094582,0.1795718097550525,0.1795718097550525
2015-07-01,NFP,282.0,171.0,342.0
2015-08-01,CPI,0.2413037985344868,0.22568611104094582,0.22568611104094582
2015-08-01,NFP,134.0,282.0,171.0
2015-09-01,CPI,0.008842961634170088,0.2413037985344868,0.2413037985344868
2015-09-01,NFP,150.0,134.0,282.0
2015-10-01,NFP,304.0,150.0,134.0
2015-10-01,CPI,0.12761656067050708,0.008842961634170088,0.008842961634170088
2015-11-01,CPI,0.4363182169185187,0.12761656067050708,0.12761656067050708
2015-11-01,NFP,229.0,304.0,150.0
2015-12-01,CPI,0.6387247515364791,0.4363182169185187,0.4363182169185187
2015-12-01,NFP,269.0,229.0,304.0
2016-01-01,CPI,1.2375025026943876,0.6387247515364791,0.6387247515364791
2016-01-01,NFP,133.0,269.0,229.0
2016-02-01,NFP,197.0,133.0,269.0
2016-02-01,CPI,0.8472775790126619,1.2375025026943876,1.2375025026943876
2016-03-01,NFP,255.0,197.0,133.0
2016-03-01,CPI,0.8916160965521946,0.8472775790126619,0.8472775790126619
2016-04-01,NFP,193.0,255.0,197.0
2016-04-01,CPI,1.1726257503534843,0.8916160965521946,0.8916160965521946
2016-05-01,CPI,1.0784764621246223,1.1726257503534843,1.1726257503534843
2016-05-01,NFP,45.0,193.0,255.0
2016-06-01,NFP,246.0,45.0,193.0
2016-06-01,CPI,1.0792865347959424,1.0784764621246223,1.0784764621246223
2016-07-01,NFP,374.0,246.0,45.0
2016-07-01,CPI,0.8683633430518256,1.0792865347959424,1.0792865347959424
2016-08-01,NFP,142.0,374.0,246.0
2016-08-01,CPI,1.0553158595656864,0.8683633430518256,0.8683633430518256
2016-09-01,CPI,1.5486446201652182,1.0553158595656864,1.0553158595656864
2016-09-01,NFP,305.0,142.0,374.0
2016-10-01,NFP,99.0,305.0,142.0
2016-10-01,CPI,1.685924966243646,1.5486446201652182,1.5486446201652182
2016-11-01,CPI,1.6843334719788938,1.685924966243646,1.685924966243646
2016-11-01,NFP,117.0,99.0,305.0
2016-12-01,CPI,2.0507989115119862,1.6843334719788938,1.6843334719788938
2016-12-01,NFP,225.0,117.0,99.0
2017-01-01,CPI,2.5103933482571117,2.0507989115119862,2.0507989115119862
2017-01-01,NFP,220.0,225.0,117.0
2017-02-01,NFP,220.0,220.0,225.0
2017-02-01,CPI,2.8103616813294208,2.5103933482571117,2.5103933482571117
2017-03-01,NFP,121.0,220.0,220.0
2017-03-01,CPI,2.44119623655914,2.8103616813294208,2.8103616813294208
2017-04-01,CPI,2.176223471915395,2.44119623655914,2.44119623655914
2017-04-01,NFP,205.0,121.0,220.0
2017-05-01,NFP,206.0,205.0,121.0
2017-05-01,CPI,1.8563431667619756,2.176223471915395,2.176223471915395
2017-06-01,NFP,203.0,206.0,205.0
2017-06-01,CPI,1.640565809959127,1.8563431667619756,1.8563431667619756
